,feature,group
0,nAtom,pd92
1,nHeavyAtom,pd92
2,nH,pd92
3,nB,pd92
4,nC,pd92
5,nN,pd92
6,nO,pd92
7,nS,pd92
8,nP,pd92
9,nF,pd92
10,nCl,pd92
11,nBr,pd92
12,nI,pd92
13,nX,pd92
14,nBonds,pd92
15,nBonds2,pd92
16,nBondsS,pd92
17,nBondsS2,pd92
18,nBondsS3,pd92
19,nBondsD,pd92
20,nBondsD2,pd92
21,nBondsT,pd92
22,nBondsQ,pd92
23,nBondsM,pd92
24,nRing,pd92
25,n3Ring,pd92
26,n4Ring,pd92
27,n5Ring,pd92
28,n6Ring,pd92
29,n7Ring,pd92
30,n8Ring,pd92
31,n9Ring,pd92
32,n10Ring,pd92
33,n11Ring,pd92
34,n12Ring,pd92
35,nG12Ring,pd92
36,nFRing,pd92
37,nF4Ring,pd92
38,nF5Ring,pd92
39,nF6Ring,pd92
40,nF7Ring,pd92
41,nF8Ring,pd92
42,nF9Ring,pd92
43,nF10Ring,pd92
44,nF11Ring,pd92
45,nF12Ring,pd92
46,nFG12Ring,pd92
47,nTRing,pd92
48,nT4Ring,pd92
49,nT5Ring,pd92
50,nT6Ring,pd92
51,nT7Ring,pd92
52,nT8Ring,pd92
53,nT9Ring,pd92
54,nT10Ring,pd92
55,nT11Ring,pd92
56,nT12Ring,pd92
57,nTG12Ring,pd92
58,nHeteroRing,pd92
59,n3HeteroRing,pd92
60,n4HeteroRing,pd92
61,n5HeteroRing,pd92
62,n6HeteroRing,pd92
63,n7HeteroRing,pd92
64,n8HeteroRing,pd92
65,n9HeteroRing,pd92
66,n10HeteroRing,pd92
67,n11HeteroRing,pd92
68,n12HeteroRing,pd92
69,nG12HeteroRing,pd92
70,nFHeteroRing,pd92
71,nF4HeteroRing,pd92
72,nF5HeteroRing,pd92
73,nF6HeteroRing,pd92
74,nF7HeteroRing,pd92
75,nF8HeteroRing,pd92
76,nF9HeteroRing,pd92
77,nF10HeteroRing,pd92
78,nF11HeteroRing,pd92
79,nF12HeteroRing,pd92
80,nFG12HeteroRing,pd92
81,nTHeteroRing,pd92
82,nT4HeteroRing,pd92
83,nT5HeteroRing,pd92
84,nT6HeteroRing,pd92
85,nT7HeteroRing,pd92
86,nT8HeteroRing,pd92
87,nT9HeteroRing,pd92
88,nT10HeteroRing,pd92
89,nT11HeteroRing,pd92
90,nT12HeteroRing,pd92
91,nTG12HeteroRing,pd92
