,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,MQNs_atom_counts_c,MQNs_atom_counts_f,MQNs_atom_counts_cl,MQNs_atom_counts_br,MQNs_atom_counts_i,MQNs_atom_counts_s,MQNs_atom_counts_p,MQNs_atom_counts_an,MQNs_atom_counts_cn,MQNs_atom_counts_ao,MQNs_atom_counts_co,MQNs_atom_counts_hac,MQNs_bond_counts_asb,MQNs_bond_counts_adb,MQNs_bond_counts_atb,MQNs_bond_counts_csb,MQNs_bond_counts_cdb,MQNs_bond_counts_ctb,MQNs_bond_counts_rbc,MQNs_polarity_counts_hbam,MQNs_polarity_counts_hba,MQNs_polarity_counts_hbdm,MQNs_polarity_counts_hbd,MQNs_polarity_counts_negc,MQNs_polarity_counts_posc,MQNs_topology_counts_asv,MQNs_topology_counts_adv,MQNs_topology_counts_atv,MQNs_topology_counts_aqv,MQNs_topology_counts_cdv,MQNs_topology_counts_ctv,MQNs_topology_counts_cqv,MQNs_topology_counts_r3,MQNs_topology_counts_r4,MQNs_topology_counts_r5,MQNs_topology_counts_r6,MQNs_topology_counts_r7,MQNs_topology_counts_r8,MQNs_topology_counts_rg,MQNs_topology_counts_rgIO,MQNs_topology_counts_afrc,MQNs_topology_counts_bfrc,sanitize,protein,decoy_name
0,3.7604297486032143,544.5957628074786,15077.674828040886,-0.8200000000000001,1.0355232835108406,3.253988636849076,1.859038601827228,16.96410161513775,9.175426480542944,16.44721359549996,8.065247584249853,1.2368033988749896,0.6809016994374948,0.3684016994374948,4.447213595499957,2.2236067977499787,1.2368033988749896,0.6809016994374948,0.3684016994374948,0.471,37.90109999999999,122.19099999999992,122.09642580409,9,110.09499999999998,3,1,0,1,1,3,48,0,1,0,0,0,0,0,1,0,0,1,0.25,0,0,27.64,72.53499394403171,5.712741725008318,0.0,0.0,0.0,0.0,30.212093538316477,5.563451491696997,9.11444201366982,16.092169577507484,0.0,0.0,0.0,0.0,4.235526234984603,22.28509496552489,0.0,0.0,0.0,6.372924901329379,6.496859684315945,35.77554503001347,0.0,0.0,0.0,5.712741725008318,6.496859684315945,6.372924901329379,0.0,17.900278497228978,30.212093538316477,4.235526234984603,0.0,0.0,0.0,0.0,0.0,54.3580713406671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.57235324051658,0.0,0.0,88.94919571995464,0.0,0.0,-3.6990015589569154,0.0,-4.423547808012091,-3.3276620370370367,-3.4989843159486016,0.0,0.0,8,0,0,0,0,0,0,1,0,0,0,9,15,0,0,3,3,0,3,0,0,0,0,0,1,0,0,0,3,0,6,0,0,0,0,1,0,0,0,0,0,0,True,1utm,ligand_decoy_134
0,2.7110131458122533,2089.571590726738,18083929950.508877,0.5099999999999999,9.871438732644576,12.282533225504437,6.5545848254891075,41.074467600217474,22.961843293521856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,488.21000000000015,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,219.04745164906302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2zmm,ligand_decoy_412
0,2.2711464402100496,1495.1773114903478,1555123465.6686301,-0.09000000000000008,7.004264314294513,8.940656800401758,4.318084043698215,36.06854962182283,20.44314219970996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,364.25800000000015,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,180.61318518417676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2v7t,ligand_decoy_310
0,2.664912904828609,2980.4494733898364,686661355136957.9,-0.42,11.376509134497194,16.232765125388624,9.072891355247057,58.925320561303366,33.54033419528029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,542.3680000000002,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,289.1176648385957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3cd7,ligand_decoy_137
0,3.235601778519396,1106.20914151474,895716120.1113193,-0.44,5.052067884509693,7.207281294562588,3.226802069980772,35.77817459305203,20.106601717798203,32.4907311951025,15.623724356957949,3.820280554681777,2.512202349956854,1.4606115204144214,10.490731195102494,5.357738033247042,3.820280554681777,2.512202349956854,1.4606115204144214,-5.395599999999992,68.64140000000003,342.2969999999996,342.11621152400056,23,320.1210000000001,8,11,11,8,11,13,136,0,0,2,2,0,2,2,0,0,0,2,1.0,0,0,189.53,162.0391707539323,55.08105439025786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.308590272215646,49.1191114315662,6.266078368536898,17.236708410431667,0.0,0.0,74.27167417664094,11.449597257861075,0.0,0.0,54.6133157097574,19.67695572874886,0.0,0.0,0.0,0.0,0.0,126.61033422522513,14.210588861400149,0.0,19.190619786383078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.29027143850628,0.0,0.0,0.0,0.0,0.0,0.0,45.607328482657756,40.11394295184425,0.0,0.0,187.402125691243,0.0,30.645059434012357,0.0,-4.852438350340137,0.0,-36.633215374992986,-13.061531399922233,0.0,0.0,12,0,0,0,0,0,0,0,0,9,2,23,35,0,0,11,0,0,13,22,11,0,0,0,0,0,9,0,3,2,0,9,0,0,1,1,0,0,0,0,0,0,True,2add,ligand_decoy_216
0,3.8550193519483154,463.71244887624977,42588.926184025266,-0.2,1.995290858725762,3.040025636917161,1.520844811753903,18.535533905932734,10.199747468305835,17.041241452319316,8.107738033247044,1.7060161321089569,0.9988413993878116,0.4843218482065811,5.0412414523193165,2.4747448713915894,1.7060161321089569,0.9988413993878116,0.4843218482065811,-2.1938000000000004,34.5742,164.1570000000001,164.068473484,11,152.06099999999995,4,5,5,4,5,5,66,0,0,1,1,0,1,1,0,0,0,1,1.0,0,0,90.15,81.05493771909698,25.1720957182289,0.0,0.0,0.0,0.0,0.0,6.851892117295679,4.1122756685106605,12.933810807801088,18.24005408084997,6.266078368536898,5.724798628930538,0.0,0.0,36.138164167590666,5.724798628930538,0.0,0.0,37.43804259363253,0.0,0.0,0.0,0.0,0.0,0.0,56.74618186969622,4.736862953800049,0.0,17.817960566657433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.43804259363253,0.0,0.0,0.0,0.0,0.0,0.0,25.1720957182289,16.690867078292296,0.0,0.0,92.4170918367347,0.0,15.079230442176867,0.0,0.0,0.0,-18.810625,-3.685697278911564,0.0,0.0,6,0,0,0,0,0,0,0,0,4,1,11,17,0,0,6,0,0,5,10,5,0,0,0,0,0,4,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,True,1uzv,ligand_decoy_446
0,1.4441763162656331,2494.599095599905,72036850120190.16,-0.10000000000000027,16.944021379877352,12.900530740457478,6.452365071264797,51.72288568127257,30.647466982142372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,666.2240000000004,0,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,286.88778310132267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2rde,ligand_decoy_265
0,3.6755141645329847,393.59237540050026,1662.8547081783033,-0.12,1.3090559511241886,1.685428017549229,0.7268386914599406,14.077350269189624,7.193375672974063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,106.05999999999996,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,59.675027627212344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1y1z,ligand_decoy_103
0,2.913923279455032,2590.97726896492,78678433757853.94,-0.43,9.540625957757255,15.53763028013608,9.04095536902972,56.2980822393491,31.524756537896014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,493.3210000000003,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,266.66788864213555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3ccz,ligand_decoy_100
0,2.8754589980043987,809.7072534119679,278420.0277584625,-2.43,3.8595017126428486,3.616610221402904,1.5836633012959715,19.049523573835152,11.720850432611945,16.580206757355413,8.212061845569252,2.7265419944792253,1.7231144503723044,1.0688406505973365,7.580206757355411,3.9873169741776633,2.7265419944792253,1.7231144503723044,1.0688406505973365,1.2933999999999992,55.59690000000002,219.19600000000003,219.053157768,16,210.12399999999997,3,5,5,3,5,4,82,0,2,0,0,1,0,0,1,0,0,2,0.0,0,0,82.69000000000003,103.72153998009104,15.326424573321635,9.361636831863176,0.0,0.0,0.0,0.0,12.084837415326591,24.430627836956116,8.224551337021321,22.81198699154871,0.0,0.0,10.200778701049408,0.0,28.345513094414773,4.293598971697903,4.5670996477913555,0.0,0.0,0.0,42.078916743979704,0.0,17.248535499851716,5.9071797293515065,0.0,30.0943029221624,0.0,0.0,18.582540012790137,36.5154652522827,0.0,0.0,0.0,0.0,17.248535499851716,0.0,65.23463197318291,0.0,4.5670996477913555,0.0,0.0,0.0,0.0,15.326424573321635,12.518150308719225,4.794537184071822,0.0,66.97290837322583,12.6923082010582,12.423351862349879,-0.8214814814814815,-3.7312368774670337,-3.0742584194171494,-1.6282583249349116,0.0,0.0,0.0,11,0,0,0,0,0,0,0,1,4,0,16,14,1,0,6,5,0,4,9,5,0,0,0,0,1,3,1,0,0,11,0,0,0,1,1,0,0,0,0,0,0,True,3eko,ligand_decoy_235
