,feature,group
0,BalabanJ,rdkt2d147
1,BertzCT,rdkt2d147
2,Ipc,rdkt2d147
3,HallKierAlpha,rdkt2d147
4,Kappa1,rdkt2d147
5,Kappa2,rdkt2d147
6,Kappa3,rdkt2d147
7,Chi0,rdkt2d147
8,Chi1,rdkt2d147
9,Chi0n,rdkt2d147
10,Chi1n,rdkt2d147
11,Chi2n,rdkt2d147
12,Chi3n,rdkt2d147
13,Chi4n,rdkt2d147
14,Chi0v,rdkt2d147
15,Chi1v,rdkt2d147
16,Chi2v,rdkt2d147
17,Chi3v,rdkt2d147
18,Chi4v,rdkt2d147
19,MolLogP,rdkt2d147
20,MolMR,rdkt2d147
21,MolWt,rdkt2d147
22,ExactMolWt,rdkt2d147
23,HeavyAtomCount,rdkt2d147
24,HeavyAtomMolWt,rdkt2d147
25,NHOHCount,rdkt2d147
26,NOCount,rdkt2d147
27,NumHAcceptors,rdkt2d147
28,NumHDonors,rdkt2d147
29,NumHeteroatoms,rdkt2d147
30,NumRotatableBonds,rdkt2d147
31,NumValenceElectrons,rdkt2d147
32,NumAmideBonds,rdkt2d147
33,NumAromaticRings,rdkt2d147
34,NumSaturatedRings,rdkt2d147
35,NumAliphaticRings,rdkt2d147
36,NumAromaticHeterocycles,rdkt2d147
37,NumSaturatedHeterocycles,rdkt2d147
38,NumAliphaticHeterocycles,rdkt2d147
39,NumAromaticCarbocycles,rdkt2d147
40,NumSaturatedCarbocycles,rdkt2d147
41,NumAliphaticCarbocycles,rdkt2d147
42,RingCount,rdkt2d147
43,FractionCSP3,rdkt2d147
44,NumSpiroAtoms,rdkt2d147
45,NumBridgeheadAtoms,rdkt2d147
46,TPSA,rdkt2d147
47,LabuteASA,rdkt2d147
48,PEOE_VSA1,rdkt2d147
49,PEOE_VSA2,rdkt2d147
50,PEOE_VSA3,rdkt2d147
51,PEOE_VSA4,rdkt2d147
52,PEOE_VSA5,rdkt2d147
53,PEOE_VSA6,rdkt2d147
54,PEOE_VSA7,rdkt2d147
55,PEOE_VSA8,rdkt2d147
56,PEOE_VSA9,rdkt2d147
57,PEOE_VSA10,rdkt2d147
58,PEOE_VSA11,rdkt2d147
59,PEOE_VSA12,rdkt2d147
60,PEOE_VSA13,rdkt2d147
61,PEOE_VSA14,rdkt2d147
62,SMR_VSA1,rdkt2d147
63,SMR_VSA2,rdkt2d147
64,SMR_VSA3,rdkt2d147
65,SMR_VSA4,rdkt2d147
66,SMR_VSA5,rdkt2d147
67,SMR_VSA6,rdkt2d147
68,SMR_VSA7,rdkt2d147
69,SMR_VSA8,rdkt2d147
70,SMR_VSA9,rdkt2d147
71,SMR_VSA10,rdkt2d147
72,SlogP_VSA1,rdkt2d147
73,SlogP_VSA2,rdkt2d147
74,SlogP_VSA3,rdkt2d147
75,SlogP_VSA4,rdkt2d147
76,SlogP_VSA5,rdkt2d147
77,SlogP_VSA6,rdkt2d147
78,SlogP_VSA7,rdkt2d147
79,SlogP_VSA8,rdkt2d147
80,SlogP_VSA9,rdkt2d147
81,SlogP_VSA10,rdkt2d147
82,SlogP_VSA11,rdkt2d147
83,SlogP_VSA12,rdkt2d147
84,EState_VSA1,rdkt2d147
85,EState_VSA2,rdkt2d147
86,EState_VSA3,rdkt2d147
87,EState_VSA4,rdkt2d147
88,EState_VSA5,rdkt2d147
89,EState_VSA6,rdkt2d147
90,EState_VSA7,rdkt2d147
91,EState_VSA8,rdkt2d147
92,EState_VSA9,rdkt2d147
93,EState_VSA10,rdkt2d147
94,EState_VSA11,rdkt2d147
95,VSA_EState1,rdkt2d147
96,VSA_EState2,rdkt2d147
97,VSA_EState3,rdkt2d147
98,VSA_EState4,rdkt2d147
99,VSA_EState5,rdkt2d147
100,VSA_EState6,rdkt2d147
101,VSA_EState7,rdkt2d147
102,VSA_EState8,rdkt2d147
103,VSA_EState9,rdkt2d147
104,VSA_EState10,rdkt2d147
105,MQNs_atom_counts_c,rdkt2d147
106,MQNs_atom_counts_f,rdkt2d147
107,MQNs_atom_counts_cl,rdkt2d147
108,MQNs_atom_counts_br,rdkt2d147
109,MQNs_atom_counts_i,rdkt2d147
110,MQNs_atom_counts_s,rdkt2d147
111,MQNs_atom_counts_p,rdkt2d147
112,MQNs_atom_counts_an,rdkt2d147
113,MQNs_atom_counts_cn,rdkt2d147
114,MQNs_atom_counts_ao,rdkt2d147
115,MQNs_atom_counts_co,rdkt2d147
116,MQNs_atom_counts_hac,rdkt2d147
117,MQNs_bond_counts_asb,rdkt2d147
118,MQNs_bond_counts_adb,rdkt2d147
119,MQNs_bond_counts_atb,rdkt2d147
120,MQNs_bond_counts_csb,rdkt2d147
121,MQNs_bond_counts_cdb,rdkt2d147
122,MQNs_bond_counts_ctb,rdkt2d147
123,MQNs_bond_counts_rbc,rdkt2d147
124,MQNs_polarity_counts_hbam,rdkt2d147
125,MQNs_polarity_counts_hba,rdkt2d147
126,MQNs_polarity_counts_hbdm,rdkt2d147
127,MQNs_polarity_counts_hbd,rdkt2d147
128,MQNs_polarity_counts_negc,rdkt2d147
129,MQNs_polarity_counts_posc,rdkt2d147
130,MQNs_topology_counts_asv,rdkt2d147
131,MQNs_topology_counts_adv,rdkt2d147
132,MQNs_topology_counts_atv,rdkt2d147
133,MQNs_topology_counts_aqv,rdkt2d147
134,MQNs_topology_counts_cdv,rdkt2d147
135,MQNs_topology_counts_ctv,rdkt2d147
136,MQNs_topology_counts_cqv,rdkt2d147
137,MQNs_topology_counts_r3,rdkt2d147
138,MQNs_topology_counts_r4,rdkt2d147
139,MQNs_topology_counts_r5,rdkt2d147
140,MQNs_topology_counts_r6,rdkt2d147
141,MQNs_topology_counts_r7,rdkt2d147
142,MQNs_topology_counts_r8,rdkt2d147
143,MQNs_topology_counts_rg,rdkt2d147
144,MQNs_topology_counts_rgIO,rdkt2d147
145,MQNs_topology_counts_afrc,rdkt2d147
146,MQNs_topology_counts_bfrc,rdkt2d147
